tau_vis_px,tau_vis_py,tau_vis_pz,tau_vis_e,met_px,met_py
-193.77965,154.15639,1003.16833,1033.5579,-481.10135,-573.8831
42.296818,-306.24728,-837.84625,895.0039,-65.69214,-200.14847
297.31323,-169.11043,-95.082054,362.7353,143.8529,-21.41905
-131.51491,-0.06056752,76.95434,152.80489,-65.035034,-130.34065
12.153508,-124.9403,-52.779137,140.27917,77.6444,121.935745
-184.78995,-7.2037477,-498.4994,532.2976,99.60503,-104.53104
23.177235,88.958565,-83.08682,124.082726,337.53342,184.81306
-24.986736,-100.38445,-360.43613,375.71655,132.42361,-220.38937
46.400753,67.0657,-184.46466,202.39061,120.64891,-96.41734
-434.34708,525.9292,-1354.3495,1517.22,65.84332,107.507065
36.084564,-135.43063,-102.05284,174.34198,24.143368,127.544945
197.37206,-142.4354,20.461134,247.07278,106.297905,-177.04494
11.040125,97.32763,184.81773,209.60214,-135.9043,56.26806
9.269302,99.12399,-202.66739,226.51268,-95.895325,197.75995
-116.2978,59.279125,7.0231833,131.21841,-45.308,-215.92438
84.97287,74.92988,-57.8526,127.895134,123.85623,109.68054
22.01873,92.10611,26.564756,99.21497,755.04706,133.0272
-272.38715,12.722357,29.056068,279.47214,-0.27175868,186.36421
-105.41753,-51.634644,-241.8991,269.3909,-40.879272,182.51152
122.13115,-113.88316,615.1374,637.8882,99.801285,-109.609665
-227.13106,145.16245,-367.0359,462.46826,-123.26549,77.16577
77.496635,-65.93933,992.90735,998.1567,56.953194,109.97979
-67.367714,-83.229904,377.59534,393.0791,111.535614,-121.929794
-87.76949,-74.790596,203.65862,234.4874,-299.658,-209.96986
73.64582,41.188023,-341.13437,351.98035,-180.28586,-781.48376
-288.64145,21.920355,-608.85596,674.74854,165.39253,-17.885937
-88.88876,-54.770313,-389.7327,403.67703,171.10818,143.57854
520.12103,432.7599,161.49945,697.6404,156.1534,-58.214325
99.99539,10.787134,-150.11275,181.06259,-52.196823,-131.38663
49.751167,62.69972,617.26904,622.5803,115.046875,68.519104
100.13866,-75.31787,144.19044,192.91757,2.9599943,144.0161
-275.64978,65.29256,-36.137608,289.70398,-216.57227,22.893244
35.32952,141.4661,-300.15594,335.68414,34.96905,195.09532
201.77254,-182.5714,302.82864,408.8166,-210.28203,373.2652
40.160736,114.621475,70.717636,143.16771,-6.93958,-136.01132
-94.54138,69.959755,981.4997,988.6643,146.24736,3.883287
202.509,-17.00279,-62.500343,212.88733,292.08444,-58.352287
-137.23242,59.57276,632.05884,649.7484,13.050466,121.56043
-335.96347,184.03271,1093.5895,1159.3055,167.0564,193.03113
